word,count
dan,4047
yang,3272
di,2467
pada,1921
dengan,1239
tahun,1212
dalam,1185
ini,1109
untuk,923
oleh,858
ke,830
dari,785
sebagai,748
kepada,601
negara,540
telah,516
ialah,515
daripada,491
adalah,471
juga,439
atau,433
amerika,411
itu,401
tidak,400
kerajaan,395
merupakan,388
perang,387
syarikat,374
orang,364
menjadi,364
sebuah,348
mereka,347
bahasa,339
ia,331
dunia,323
satu,322
saint,302
lebih,294
korea,282
tentera,273
wilayah,273
utara,272
empayar,271
seperti,270
zaman,266
kanada,266
beliau,264
antara,261
pertama,258
besar,258
selepas,255
perancis,253
lain,251
jepun,251
british,249
abad,245
selatan,236
kawasan,236
barat,232
filem,231
sejarah,225
boleh,223
dua,223
eropah,221
timur,221
jerman,217
bagi,217
negeri,214
is,211
deprecated,208
secara,207
sehingga,202
semasa,197
kuasa,196
bandar,195
tetapi,192
banyak,190
rencana,189
mana,187
the,183
kedua,183
nama,182
mempunyai,180
tersebut,180
termasuk,175
serta,173
de,173
kota,173
beberapa,172
atas,170
raja,170
ahli,169
romania,166
masa,165
laut,165
bawah,159
tiga,158
china,157
of,156
inggeris,155
digunakan,151
dikenali,149
seorang,147
asia,144
paling,144
sama,143
la,143
kemudian,142
penduduk,142
india,141
baru,139
bahawa,136
kerana,135
hingga,135
utama,133
an,133
britain,129
pihak,129
tunas,128
apabila,128
bahagian,126
ekonomi,126
akhir,126
tanah,125
sejak,125
ketika,123
code,122
islam,122
itali,122
templat,121
awal,121
sebahagian,121
terbesar,120
iaitu,120
belanda,120
terletak,117
rom,117
goguryeo,117
bermula,116
undang,116
tengah,115
bersama,115
pulau,114
kurun,114
mula,112
bangsa,112
salah,112
sungai,112
pemerintahan,111
perpustakaan,111
membantu,110
kira,110
kebanyakan,109
hungary,108
ii,107
walaupun,107
lagi,106
para,106
cina,103
menggunakan,102
kini,102
juta,102
budaya,102
terdapat,102
tempat,102
silla,102
masjid,102
tempoh,101
akan,101
terhadap,101
melalui,101
sebelum,100
politik,100
sekitar,99
afrika,98
sepanyol,98
hari,97
hanya,97
kecil,97
perdagangan,97
seluruh,95
republik,95
pertempuran,95
malaysia,94
luar,94
dinasti,94
serangan,94
gereja,94
anda,93
buku,93
perjanjian,93
sur,91
kumpulan,90
wikipedia,90
new,90
pasukan,90
setiap,89
ada,88
pertengahan,86
lama,86
sultan,86
sistem,85
berjaya,85
kapal,85
semula,84
kesatuan,84
daerah,84
mengenai,83
namun,83
sm,83
soviet,83
rasmi,82
menerima,82
pusat,82
le,82
kali,81
semenanjung,81
selama,80
penting,80
membawa,80
rusia,80
setelah,79
baekje,79
mengembangkannya,78
united,78
agama,78
televisyen,77
antarabangsa,77
maharaja,77
ibu,76
jumlah,76
suatu,75
history,73
pelbagai,73
anak,73
batu,73
menyebabkan,73
berkembang,73
moden,72
al,72
kingdom,71
scotland,71
sendiri,71
tinggi,71
empat,71
kongres,71
fizik,70
arab,70
england,70
anugerah,69
bukan,69
terdiri,69
air,69
turut,68
masih,68
istilah,67
mencapai,67
muzik,67
yunani,67
ramai,67
merujuk,67
presiden,67
sangat,66
kemerdekaan,66
pertandingan,66
bagaimanapun,66
kura,66
parti,65
mesir,65
melayu,64
kemudiannya,64
hampir,64
persekutuan,64
lagu,63
akhirnya,63
pernah,63
berada,63
ireland,63
baginda,63
kerja,62
john,61
membentuk,61
semua,61
masyarakat,61
berlaku,61
buah,61
kuil,61
raya,60
bersatu,60
ditubuhkan,60
seni,60
sukan,59
rakyat,59
jajahan,59
memberi,59
waktu,59
pula,59
media,59
paus,59
terkenal,58
dapat,58
perkhidmatan,58
mei,58
terutamanya,58
biasanya,57
bentuk,57
hubungan,57
kembali,57
rancangan,56
memiliki,56
hadiah,56
terus,56
bukit,56
tibet,56
berkaitan,55
diri,55
hak,55
and,55
operasi,55
selain,55
berasal,55
koloni,55
sering,55
spesies,55
dia,54
lalu,54
